Id,Accession,title,summary,taxon
200128067,GSE128067,Comprehensive constitutional genetic and epigenetic characterization of Lynch-like individuals [FFPE],"Background: In ~50% of Lynch syndrome (LS)-suspected patients (also called Lynch-like syndrome, LLS), the causal mechanism for cancer predisposition remains unknown. Our aim was to elucidate the constitutional basis of mismatch repair (MMR) deficiency in LLS patients throughout a comprehensive genetic and epigenetic analysis. Methods: One hundred and fifteen LLS patients harboring MMR deficient tumors and no pathogenic germline MMR gene mutations were included in this study. Mutational analysis of 26 colorectal cancer associated genes was performed by using a customized multigene panel and massively parallel sequencing. Pathogenicity of MMR variants was assessed by mRNA analysis and multifactorial likelihood calculations. Genome-wide methylome analysis was perfomed by using the Infinium HumanMethylation450K BeadChip. Results: The multigene panel analysis revealed the presence of two MMR gene truncating mutations not found in previous analysis. Of a total of 15 MMR variants of unknown significance identified, five - present in 6 unrelated individuals- were reclassified as pathogenic. In addition, 13 predicted deleterious variants in other CRC-predisposing genes (MSH3, MUTYH, POLD1, APC, EPCAM, BUB1, FAN1, EXO1 or PSM1) were found in 12 probands. Methylome analysis detected one constitutional MLH1 epimutation in an individual diagnosed with CRC at age 42, but no additional differentially methylated regions were identified in LLS compared to LS patients or healthy individuals. Conclusions: In conclusion, the use of an ad-hoc designed gene panel combined with pathogenicity assessment of variants allows the identification of deleterious MMR mutations as well as new LLS candidate genes. Moreover, constitutional epimutations in non-LS-associated genes are not responsible for the MMR-deficient phenotype observed in LLS patients.",Homo sapiens
200128066,GSE128066,A Bayesian mixture model for clustering droplet-based single cell transcriptomic data from population studies,"Abstract: The recently developed droplet-based single cell transcriptome sequencing (scRNA-seq) technology makes it feasible to perform a population-scale scRNA-seq study, in which the transcriptome is measured for tens of thousands of single cells from multiple individuals. Despite the advances of many clustering methods, there are few tailored methods for population-scale scRNA-seq studies. Here, we develop a BAyesian Mixture Model for Single Cell sequencing (BAMM-SC) method to cluster scRNA-seq data from multiple individuals simultaneously. BAMM-SC takes raw count data as input and accounts for data heterogeneity and batch effect among multiple individuals in a unified Bayesian hierarchical model framework. Results from applications of BAMM-SC to in-house experimental scRNA-seq datasets using blood and lung cells from humans or mice demonstrate that BAMM-SC outperformed existing clustering methods with considerable improved clustering accuracy, particularly in the presence of heterogeneity among individuals. Data purpose: To evaluate the performance of BAMM-SC for clustering droplet-based scRNA-seq data in population-based study, we performed single cell RNA-seq on peripheral blood mononuclear cells (PBMC) isolated from whole blood obtained from 4 healthy donors, and on lung cells isolated from streptococcus pneumonia (SP) infected and naïve mice.",Homo sapiens; Mus musculus
200128064,GSE128064,Comprehensive constitutional genetic and epigenetic characterization of Lynch-like individuals [Blood],"Background: In ~50% of Lynch syndrome (LS)-suspected patients (also called Lynch-like syndrome, LLS), the causal mechanism for cancer predisposition remains unknown. Our aim was to elucidate the constitutional basis of mismatch repair (MMR) deficiency in LLS patients throughout a comprehensive genetic and epigenetic analysis. Methods: One hundred and fifteen LLS patients harboring MMR deficient tumors and no pathogenic germline MMR gene mutations were included in this study. Mutational analysis of 26 colorectal cancer associated genes was performed by using a customized multigene panel and massively parallel sequencing. Pathogenicity of MMR variants was assessed by mRNA analysis and multifactorial likelihood calculations. Genome-wide methylome analysis was perfomed by using the Infinium HumanMethylation450K BeadChip. Results: The multigene panel analysis revealed the presence of two MMR gene truncating mutations not found in previous analysis. Of a total of 15 MMR variants of unknown significance identified, five - present in 6 unrelated individuals- were reclassified as pathogenic. In addition, 13 predicted deleterious variants in other CRC-predisposing genes (MSH3, MUTYH, POLD1, APC, EPCAM, BUB1, FAN1, EXO1 or PSM1) were found in 12 probands. Methylome analysis detected one constitutional MLH1 epimutation in an individual diagnosed with CRC at age 42, but no additional differentially methylated regions were identified in LLS compared to LS patients or healthy individuals. Conclusions: In conclusion, the use of an ad-hoc designed gene panel combined with pathogenicity assessment of variants allows the identification of deleterious MMR mutations as well as new LLS candidate genes. Moreover, constitutional epimutations in non-LS-associated genes are not responsible for the MMR-deficient phenotype observed in LLS patients.",Homo sapiens
200128040,GSE128040,Neural stem cells of Parkinson’s disease patients exhibit aberrant mitochondrial morphology and functionality,"Emerging evidence suggest that Parkinson's disease (PD), besides being an age-associated disorder, might also have a neurodevelopment component. Disruption of mitochondrial homeostasis has been highlighted as a crucial cofactor in its etiology. Here, we show that PD patient-specific human neuroepithelial stem cells (NESCs) carrying the LRRK2-G2019S mutation recapitulate key mitochondrial defects previously described only in differentiated dopaminergic neurons. By combining high-content imaging approaches, 3D image analysis, and functional mitochondrial readouts we show that LRRK2-G2019S mutation caused aberrations in mitochondrial morphology and functionality compared to isogenic controls. LRRK2-G2019S NESCs displayed an increased number of mitochondria compared to isogenic control lines. However, these mitochondria were more fragmented and exhibited decreased membrane potential. Coherently, the release of total and mitochondrial redox oxidative species increased in LRRK2-G2019S NESC compared to controls. Functional alterations in LRRK2-G2019S cultures were also accompanied by a reduced mitophagic clearance via lysosomes. These findings support the hypothesis that preceding mitochondrial developmental defects contribute to the manifestation of the PD pathology later in life.",Homo sapiens
200096060,GSE96060,Gene Expression In Blood From an Individual With β-Thalassemia: an RNA Sequence Analysis,"Background: The thalassemias are highly diverse at both the molecular and clinical levels. Many of the HBB mutations that result in β-thalassemia are missense mutations in the coding region of the β-globin gene, but a few cause alternative splicing, and interfere with normal processing of the β-globin transcripts. Transcriptome profiling in individuals affected with β-thalassemia, especially in individuals who carry novel mutations in the HBB, may improve our understanding of the heterogeneity and molecular mechanisms of the disease. Methods: Members of a family with a daughter affected with thalassemia intermedia, although her mother was not clinically affected, were examined for physical characteristics, hematological parameters and β-globin gene sequences. We also characterized genome-wide gene expression in the family using RT-qPCR and high-throughput RNA-sequencing mRNA expression profiling of blood. Results: Clinical findings, hematological indices, DNA and RNA sequence analysis of individuals with β-thalassemia, including the description of a novel mutation in the β-globin gene, which introduces a cryptic donor splice site. More than 300 genes are differentially expressed in β-thalassemic blood with many of the DEGs involved in pathways relevant to the clinical management of β-thalassemia. β-thalassemia shows important similarities and differences with sickle cell disease at the transcriptome level. Conclusions: We described the down-regulation of the β-globin gene in β-thalassemia by RNA-sequencing analysis using a sample from an affected individual and her mother, who have a novel mutation in the HBB that creates a cryptic donor splice site. The daughter has a typical β-thalassemia allele as well, and an unexpectedly severe phenotype. The DEGs are enriched in pathways that are directly or indirectly related to β-thalassemia such as hemopoiesis, heme biosynthesis, response to oxidative stress, inflammatory responses, immune responses, control of circadian rhythm, apoptosis, and other cellular activities. We compare our findings with published results of RNA-Sequencing analysis of sickle cell disease (SCD) and erythroblasts from a KLF1-null neonate with hydrops fetalis, and recognize similarities and differences in their transcriptional expression patterns.",Homo sapiens
200118527,GSE118527,Affymetrix SNP array data (Oncoscan CNV) for Fudan University Shanghai Cancer Center Triple Negative Breast Cancer (FUSCCTNBC) project,"We comprehensively analyzed clinical, genomic and transcriptomic data of a cohort of 465 primary triple-negative breast cancer (TNBC). PIK3CA mutations and copy number gains of chromosome 22q11 were more frequent in our Chinese cohort than in The Cancer Genome Atlas. We classified TNBCs into four transcriptome-based subtypes: 1) luminal androgen receptor (LAR), 2) immunomodulatory (IM), 3) basal-like immune-suppressed (BLIS), and 4) mesenchymal (MES). Putative therapeutic targets or biomarkers were identified among each subtype. Importantly, the LAR subtype showed more ERBB2 somatic mutations, infrequent mutational signature 3 and frequent CDKN2A loss. The comprehensive profile of TNBCs provided here will serve as a reference to further advance the understanding and precision treatment of TNBC.",Homo sapiens
200111636,GSE111636,Identification of potential biomarkers of response and resistance to programmed cell death-1 blockade in patients with advanced urothelial tumors,We have performed an analysis of a small series of UC patients in order to analyze their characteristics and patterns of response and resistance to inmunotherapy,Homo sapiens
200111422,GSE111422,Multiple myeloma cell lines expression profile of OTX015-treated cells compared to DMSO controls,"Several studies demonstrate that the bromodomain inhibitor OTX015 has preclinical antitumor activity in a variety of solid tumors and hematologic cancers. However, translation of these data to molecules suitable for clinical development has not yet to be accomplished in multiple myeloma (MM). Here, we identified genes and biologic processes that underpin the antimyeloma activity of OTX015 with global transcriptomics. OTX015 exerted strong antiproliferative effect and induced cell cycle arrest in vitro. Gene expression profiling showed that OTX015 targeted NF-κB, EGFR, cell cycle regulation, cancer proliferation signaling pathway. Gene expression signatures associated with different sensitivity to OTX015 were also identified. The data also showed that oral administration of OTX015 displayed significant antitumor activity in mice model of disseminated human myeloma. In addition, our study provided the first evidence and rationale that OTX015 could promoted osteoblast differentiation of mesenchymal stem cells (MSCs) and inhibited osteoclast formation and resorption in vivo experiments. Herein we expanded the mechanistic understanding of BET inhibitors OTX015 in MM. Our preclinical studies provided a strong rationale for extending the clinical testing of the novel antimyeloma agent OTX015 and revealed insights into biologic pathways required for myeloma cell proliferation.",Homo sapiens
200111665,GSE111665,"Next Generation Sequencing Facilitates Quantitative Analysis of a circRNA, hsa_circ_0005505 regulated Transcriptomes in breast cancer cells (MDA-MB-231 lung metastatic cells LM2)","Purpose: hsa_circ_0005505 stably knockdown cells (circ-sh1 and circ-sh2) and its corresponing control cells (con-sh) were constructed using its specific shRNAs. Next-generation sequencing (NGS) has used to examine hsa_circ_0005505 regulated transcripts. Methods: mRNA profiles of circsh1, circsh2 and con-sh were generated by deep sequencing using IlluminaI HiSeq 4000. The sequence reads that passed quality filters were analyzed at the transcript isoform level with two methods: Burrows–Wheeler Aligner (BWA) followed by ANOVA (ANOVA) and TopHat followed by Cufflinks. qRT–PCR validation was performed using SYBR Green assays Results: We found 816 and 909 transcripts downregulated in circ-sh1 and circ-sh2 cells compared with con-sh cells, respectively. But 712 and 723 transcripts upregulated in circ-sh1 and circ-sh2 cells compared with con-sh cells, respectively. The differential expression with a fold change ≥1.5 and p value <0.05. Conclusions: Our study represents the first detailed analysis of hsa_circ_0005505-regulated transcripts in breast cancer cells.",Homo sapiens
200111567,GSE111567,Plasma fatty acid levels and gene expression related to lipid metabolism in peripheral blood mononuclear cells,"Solid evidence indicates that intake of marine n-3 fatty acids lower serum triglycerides, and that replacing saturated fatty acids (SFA) with polyunsaturated fatty acids (PUFA) reduces plasma total cholesterol and LDL-cholesterol. The molecular mechanisms underlying these health beneficial effects are however not completely elucidated. The aim of this study was to investigate the expression of genes related to lipid metabolism in peripheral blood mononuclear cells (PBMC) depending on the plasma levels of n-6 and n-3 fatty acids and the SFA to PUFA ratio.",Homo sapiens
200124025,GSE124025,Cohesin-mediated genome architecture does not define replication timing domains,Cohesin-mediated genome architecture does not define replication timing domains,Homo sapiens
200125328,GSE125328,Transcriptomics modification consecutive to AS1842856 treatment in primary T lymphocytes,"We have observed that the FOXO1 inhibitor AS1842856 induces a significant increase of both the bioenergetics and transcriptional activity of human T cells, together with a significant increase in their size, without any cell division. These modifications are accompanied by a decrease of p27 expression, contrasting with an increase of CDK2 cellular levels and by the phosphorylation of Rb and SAMHD1 proteins. As these changes are known to be characteristic of cells undergoing a G0 to G1 progression. To get an overall view of these changes in T-cell metabolism, we performed gene expression microarray analysis of PBT cultured during 7 days in the presence or not of AS1842856. We conclude that inhibition of FOXO1 by AS1842856 is sufficient to induce a profound reprogramming of human T lymphocytes, regulating their exit from quiescence.",Homo sapiens
200072048,GSE72048,Anti-inflammatory Effects of the Commensal Bacterium Faecalibacterium prausnitzii analyzed by microarrays,"The human intestinal microbiota plays an essential role in host health. Modifications in its composition and diversity could induce pathologies such as inflammatory bowel diseases (IBD). These diseases are characterized by an unbalanced intestinal microbiota (a process known as dysbiosis) and an altered immune response. Faecalibacterium prausnitzii, the most abundant commensal bacterium in the human intestinal microbiota of healthy individuals (representing more than 5% of the total bacterial population), has been reported to be lower in feces and mucosa-associated microbiota of IBD patients. In addition, we have shown that both F. prausnitzii and its culture supernatant (SN) have anti-inflammatory and protective effects in both acute and chronic colitis models. However, the host molecular mechanisms involved in these anti-inflammatory effects remain unknown. In order to address this issue, we performed DNA chip-based transcriptomic analyses in HT-29 human intestinal epithelial cells stimulated with TNF-a and exposed to F. prausnitzii SN or to BHI (growth medium for F prausnitzii).",Homo sapiens
200125932,GSE125932,Transcriptome analysis of mouse and human sinoatrial node cells reveals a conserved genetic program,Expression analysis of mouse sinoatrial nodes and working cardiomyocytes,Mus musculus; Homo sapiens
200124757,GSE124757,Phosphatase inhibitor PPP1R11 modulates resistance of human T cells towards Treg-mediated suppression of TCR signaling,We have performed RNAseq analysis of human T cells upon PPP1R11 siRNA silencing. We have explored the role of PPP1R11 for the first time in primary human T cells and discovered that PPP1R11 is a novel negative mediator of T cell activation.,Homo sapiens
200090963,GSE90963,Transcriptome-wide Profiling of Multiple RNA Modifications Simultaneously at Single-base Resolution,"We report RBS-Seq, a new RNA bisulfite sequencing method enabling the sensitive and simultaneous detection of m5C, pseudouridine, and m1A at single-base resolution transcriptome-wide. For each, we detect ‘signature’ base mismatches (for m5C and m1A), or 1-2 base deletions (for pseudouridine) structurally explained by ribose ring-opened pseudouridine-mono-bisulfite adducts.  Our profiles for pseudouridine reveal clear signatures at known sites in tRNAs and rRNAs, and provide hundreds of new targets in non-coding RNAs and mRNAs. However, our results diverge greatly from prior work, suggesting ~10-fold fewer m5C sites, and the absence of substantial m1A in mRNAs.",Homo sapiens
200128021,GSE128021,Gene expression differences in omental mesothelial cells from lean and obese human donors,"Visceral adipose tissue inflammation correlates with metabolic dysfunction in obesity. However, critical cell types that trigger and contribute to inflammation in this depot are not completely understood. Mesothelial cells line the omental fat depot and are thought to contribute to several intraperitoneal inflammatory conditions. Whether adipose-associated mesothelial cell inflammation is a feature of pathologic obesity is unclear. This study was performed to delineate a contribution of omental adipose mesothelial cells to visceral adipose tissue dysfunction in pathologic obesity. We performed a cross-sectional case-control study from two separate cohorts of patients undergoing abdominal surgery with varying degrees of obesity and metabolic disease. Whole-genome expression profiling was conducted on mesothelial cells isolated from lean and obese surgical patients to determine differences in relevant pathways related to obesity and metabolic disease.",Homo sapiens
200128004,GSE128004,Exosomal hsa-miR199a-3p promotes proliferation and metastasis in neuroblastoma,"To elucidate whether exosomal hsa-miR199a-3p plays a role in neuroblastoma tumorigenesis, a miRNA-seq analysis on plasma exosomal miRNA from neuroblastoma patients and normal controls.",Homo sapiens
