disease_name,disease_counts
Blepharospasm,0
Blind Loop Syndrome,9
Blindness,23
Blister,164
Blood Coagulation Disorders,127
Blood Platelet Disorders,95
Blood Protein Disorders,467
Bloom Syndrome,14
Bluetongue,0
Body Temperature Changes,0
Body Weight,0
Body Weight Changes,0
Bone Cysts,9
Bone Diseases,559
"Bone Diseases, Developmental",128
"Bone Diseases, Endocrine",8
"Bone Diseases, Infectious",2
"Bone Diseases, Metabolic",70
Bone Marrow Diseases,483
Bone Neoplasms,219
Bone Resorption,32
Border Disease,1
Bordetella Infections,1
Borna Disease,0
Borrelia Infections,21
Botulism,1
Boutonneuse Fever,1
Bovine Virus Diarrhea-Mucosal Disease,0
Bowen's Disease,0
Bradycardia,0
Brain Abscess,0
Brain Concussion,5
"Brain Damage, Chronic",57
Brain Death,9
Brain Diseases,2822
"Brain Diseases, Metabolic",303
Brain Edema,76
Brain Injuries,26
Brain Neoplasms,1121
Branchioma,0
Breast Diseases,3587
Breast Neoplasms,3574
Breech Presentation,4
Brenner Tumor,6
Bronchial Diseases,231
Bronchial Fistula,0
Bronchial Neoplasms,540
Bronchial Spasm,0
Bronchiectasis,2
Bronchiolitis,8
Bronchiolitis Obliterans,2
"Bronchiolitis, Viral",3
Bronchitis,11
Bronchogenic Cyst,0
Bronchopneumonia,1
Bronchopulmonary Dysplasia,11
Bronchopulmonary Sequestration,0
Brucellosis,6
"Brucellosis, Bovine",0
Bruxism,0
Bulimia,0
Bundle-Branch Block,1
Bunyaviridae Infections,16
Burkitt Lymphoma,137
Burning Mouth Syndrome,0
"Burnout, Professional",0
Burns,12
"Burns, Chemical",1
"Burns, Electric",0
"Burns, Inhalation",1
Bursitis,3
Byssinosis,3
Cachexia,0
Cadaver,0
Cadmium Poisoning,1
Calcinosis,22
Calciphylaxis,0
Calcium Metabolism Disorders,28
Calculi,0
Callosities,1
Campylobacter Infections,1
Candidiasis,12
"Candidiasis, Chronic Mucocutaneous",2
"Candidiasis, Cutaneous",0
"Candidiasis, Oral",0
"Candidiasis, Vulvovaginal",0
Marijuana Abuse,0
Caplan Syndrome,0
"Carbohydrate Metabolism, Inborn Errors",115
Carbon Monoxide Poisoning,0
Carbon Tetrachloride Poisoning,0
Carbuncle,0
Carcinoid Heart Disease,1
Carcinoid Tumor,11
Carcinoma,3992
Carcinoma in Situ,165
"Carcinoma 256, Walker",0
"Carcinoma, Basal Cell",54
"Carcinoma, Basosquamous",0
"Adenocarcinoma, Bronchiolo-Alveolar",24
"Carcinoma, Bronchogenic",540
"Carcinoma, Brown-Pearce",0
"Carcinoma, Intraductal, Noninfiltrating",63
"Carcinoma, Ehrlich Tumor",0
"Carcinoma, Krebs 2",0
"Adenocarcinoma, Mucinous",36
"Carcinoma, Non-Small-Cell Lung",478
"Carcinoma, Papillary",63
"Carcinoma, Renal Cell",339
"Adenocarcinoma, Scirrhous",0
"Carcinoma, Squamous Cell",810
"Carcinoma, Transitional Cell",23
Carcinosarcoma,8
"Cardiac Output, Low",2
Cardiac Tamponade,0
"Cardiomyopathy, Alcoholic",1
"Cardiomyopathy, Dilated",44
"Cardiomyopathy, Hypertrophic",23
"Cardiomyopathy, Restrictive",0
Cardiovascular Diseases,2123
Carotid Artery Diseases,18
Carotid Artery Thrombosis,0
Carotid Body Tumor,0
Carpal Tunnel Syndrome,4
Cartilage Diseases,16
Cat Diseases,3
Cat-Scratch Disease,0
Catalepsy,0
Cataplexy,1
Cataract,19
Catastrophic Illness,0
Catatonia,0
Cattle Diseases,33
Causalgia,1
Cecal Diseases,8
Cecal Neoplasms,1
Celiac Disease,42
"Cell Transformation, Neoplastic",1073
"Cell Transformation, Viral",84
Cellulitis,0
Cementoma,0
Central Nervous System Diseases,3260
Central Nervous System Infections,286
Cerebellar Ataxia,86
Cerebellar Diseases,205
Myoclonic Cerebellar Dyssynergia,1
Cerebellar Neoplasms,56
Intracranial Aneurysm,17
"Hypoxia, Brain",135
Intracranial Arteriosclerosis,3
Intracranial Arteriovenous Malformations,0
Cerebral Arterial Diseases,22
Intracranial Embolism and Thrombosis,3
Cerebral Hemorrhage,3
Cerebral Infarction,27
Brain Ischemia,57
"Ischemic Attack, Transient",6
Cerebral Palsy,39
Diffuse Cerebral Sclerosis of Schilder,0
Cerebral Ventricle Neoplasms,13
Cerebrospinal Fluid Otorrhea,0
Cerebrospinal Fluid Rhinorrhea,0
Cerebrovascular Disorders,189
Cervical Rib Syndrome,0
Uterine Cervicitis,52
Uterine Cervical Diseases,176
Uterine Cervical Dysplasia,0
Uterine Cervical Erosion,0
Uterine Cervical Incompetence,0
Uterine Cervical Neoplasms,148
Cestode Infections,0
Chagas Cardiomyopathy,1
Chancre,0
Chancroid,1
Charcot-Marie-Tooth Disease,23
Chediak-Higashi Syndrome,3
Cheilitis,0
Cherubism,0
Chest Pain,0
Cheyne-Stokes Respiration,0
Chiari-Frommel Syndrome,0
Chickenpox,0
Chilblains,0
Chlamydia Infections,24
Chlamydiaceae Infections,25
Choanal Atresia,0
"Adenoma, Bile Duct",0
Cholangitis,6
Cholecystitis,3
Cholelithiasis,3
Cholera,1
Cholestasis,26
"Cholestasis, Intrahepatic",20
Cholesteatoma,2
Choline Deficiency,0
Chondroblastoma,3
Chondrocalcinosis,1
Chondrodysplasia Punctata,0
Chondroma,6
Chondrosarcoma,24
Chordoma,23
Chorea,118
"Hydatidiform Mole, Invasive",0
Chorioamnionitis,10
Choriocarcinoma,8
Chorioretinitis,0
Choristoma,0
Choroid Neoplasms,0
Choroid Hemorrhage,0
Choroiditis,6
Hemophilia B,0
Chromoblastomycosis,0
Chromosome Aberrations,0
Chromosome Deletion,0
Chromosome Fragility,0
Chronic Disease,0
Chylous Ascites,0
Chylothorax,2
Ciliary Motility Disorders,1
Cleft Lip,9
Cleft Palate,11
Cleidocranial Dysplasia,1
Clonorchiasis,1
Clostridium Infections,11
Clubfoot,1
Cluster Headache,21
Cocarcinogenesis,0
Coccidioidomycosis,3
Coccidiosis,21
Cockayne Syndrome,35
Solitary Pulmonary Nodule,0
Colic,0
Colitis,146
"Colitis, Ulcerative",114
Collagen Diseases,33
Colles' Fracture,0
Coloboma,14
Colonic Diseases,1692
"Colonic Diseases, Functional",10
Colonic Neoplasms,570
Colonic Polyps,0
Colonic Pseudo-Obstruction,0
Color Vision Defects,2
Colorado Tick Fever,0
"Colorectal Neoplasms, Hereditary Nonpolyposis",18
Coma,10
Common Bile Duct Diseases,0
Common Bile Duct Neoplasms,0
Common Cold,5
Communicable Diseases,46
Communication Disorders,74
Compartment Syndromes,19
Condylomata Acuminata,1
Confusion,0
Conjunctival Diseases,17
Conjunctival Neoplasms,0
Conjunctivitis,9
"Conjunctivitis, Acute Hemorrhagic",0
"Conjunctivitis, Allergic",0
"Conjunctivitis, Bacterial",8
"Conjunctivitis, Inclusion",4
"Conjunctivitis, Viral",0
Connective Tissue Diseases,757
Consciousness Disorders,10
Constipation,0
"Constriction, Pathologic",0
Contracture,10
Contusions,0
Convalescence,0
"Seizures, Febrile",5
Cor Triatriatum,0
Corneal Diseases,134
"Corneal Dystrophies, Hereditary",40
Corneal Opacity,1
Corneal Ulcer,0
Coronary Aneurysm,2
Coronary Artery Disease,98
Coronary Disease,125
Coronary Thrombosis,0
Coronary Vasospasm,0
Coronary Vessel Anomalies,0
Coronaviridae Infections,21
Corynebacterium Infections,0
Cough,0
Coxsackievirus Infections,9
Cracked Tooth Syndrome,0
Cranial Nerve Diseases,109
Cranial Nerve Neoplasms,55
Craniofacial Dysostosis,6
Craniopharyngioma,2
Craniosynostoses,10
Congenital Hypothyroidism,2
Cri-du-Chat Syndrome,0
Crigler-Najjar Syndrome,1
Crisscross Heart,0
Crohn Disease,135
Cross Infection,13
Croup,0
Crush Syndrome,0
Cryoglobulinemia,1
Cryptococcosis,1
Cryptorchidism,1
Cryptosporidiosis,4
Cushing Syndrome,4
Cutis Laxa,0
Cyanosis,0
"Carcinoma, Adenoid Cystic",21
Cystadenocarcinoma,71
Cystadenoma,31
Cystic Fibrosis,78
Cysticercosis,0
Cystinosis,0
Cystinuria,0
Cystitis,8
Phyllodes Tumor,2
Cysts,66
Cytomegalovirus Infections,71
Dacryocystitis,0
Dandy-Walker Syndrome,1
De Lange Syndrome,9
Deafness,8
"Hearing Loss, Sudden",0
Death,0
"Death, Sudden",0
"Decalcification, Pathologic",0
Decerebrate State,0
Decompression Sickness,0
Pressure Ulcer,1
Deficiency Diseases,225
Deglutition Disorders,20
Dehydration,2
Delirium,0
Hepatitis D,7
Dementia,381
Demyelinating Diseases,275
Dengue,49
Dens in Dente,0
Dental Calculus,0
Dental Caries,37
Dental Deposits,9
Dental Enamel Hypoplasia,0
Dental Fissures,0
Dental Fistula,0
Dental Leakage,2
"Dental Occlusion, Traumatic",1
Dental Plaque,3
Dental Pulp Calcification,0
Dental Pulp Diseases,4
Dental Pulp Exposure,0
Dental Pulp Necrosis,0
Dentigerous Cyst,0
Dentin Dysplasia,0
Dentin Sensitivity,0
Dentinogenesis Imperfecta,0
Dermatitis,128
"Dermatitis, Exfoliative",2
Dermatitis Herpetiformis,0
Drug Eruptions,11
"Dermatitis, Atopic",70
"Dermatitis, Contact",18
Dermatomycoses,2
Dermatomyositis,15
Dermoid Cyst,0
Dextrocardia,1
Diabetes Insipidus,2
Diabetes Mellitus,490
"Diabetes Mellitus, Experimental",13
"Diabetes Mellitus, Type 1",139
"Diabetes Mellitus, Lipoatrophic",0
"Diabetes Mellitus, Type 2",181
Diabetic Angiopathies,39
Diabetic Coma,3
Diabetic Nephropathies,44
Diabetic Neuropathies,84
Diabetic Retinopathy,22
Diaper Rash,0
Diaphragmatic Eventration,0
Camurati-Engelmann Syndrome,1
Diarrhea,0
"Diarrhea, Infantile",0
Vipoma,0
Diastema,0
Dicrocoeliasis,0
Dictyocaulus Infections,0
Dientamoebiasis,0
"Hyperostosis, Diffuse Idiopathic Skeletal",0
DiGeorge Syndrome,9
Digestive System Abnormalities,22
Digestive System Diseases,4784
Digestive System Neoplasms,3567
"Dilatation, Pathologic",0
Dipetalonema Infections,0
Diphtheria,0
Diphyllobothriasis,0
Diplopia,0
Dirofilariasis,0
Disease,0
"Disease Models, Animal",816
Disease Susceptibility,0
Diseases in Twins,0
Joint Dislocations,0
Disseminated Intravascular Coagulation,2
Distemper,0
Diverticulitis,1
"Diverticulitis, Colonic",0
Diverticulum,0
"Diverticulum, Colon",0
Dizziness,0
DNA Virus Infections,806
Dog Diseases,5
Double Outlet Right Ventricle,3
Dourine,0
Down Syndrome,109
Dracunculiasis,0
Drowning,0
Drug Hypersensitivity,14
Dry Socket,0
Duane Retraction Syndrome,2
"Ductus Arteriosus, Patent",15
Dumping Syndrome,0
Duodenal Diseases,8
Duodenal Neoplasms,2
Duodenal Obstruction,0
Duodenal Ulcer,2
Duodenitis,3
Duodenogastric Reflux,1
Dupuytren Contracture,7
Dwarfism,58
"Dwarfism, Pituitary",1
Dysarthria,0
"Dysautonomia, Familial",6
Dysentery,6
"Dysentery, Amebic",1
"Dysentery, Bacillary",3
Dysgammaglobulinemia,9
Dysgerminoma,0
Dysgeusia,18
"Dyskinesia, Drug-Induced",3
Dyslexia,6
"Dyslexia, Acquired",0
Dysmenorrhea,0
Dysostoses,26
Dyspareunia,0
Dyspepsia,0
Dysplastic Nevus Syndrome,20
Dyspnea,1
"Dyspnea, Paroxysmal",0
Dystocia,2
Dystonia,5
Dystonia Musculorum Deformans,2
"Ear Deformities, Acquired",0
Ear Diseases,137
Ear Neoplasms,3
Earache,0
Ebstein Anomaly,1
Ecchymosis,0
Echinococcosis,0
"Echinococcosis, Hepatic",0
"Echinococcosis, Pulmonary",0
Echinostomiasis,0
Echolalia,0
Echovirus Infections,0
Eclampsia,0
Ecthyma,0
"Ecthyma, Contagious",1
Ectodermal Dysplasia,15
Ectoparasitic Infestations,1
Ectopia Lentis,0
Ectromelia,1
"Ectromelia, Infectious",4
Ectropion,0
Eczema,9
Edema,0
Edema Disease of Swine,0
"Edema, Cardiac",0
Ehlers-Danlos Syndrome,5
Eisenmenger Complex,0
Electric Injuries,0
Elephantiasis,0
"Elephantiasis, Filarial",7
"Elliptocytosis, Hereditary",1
Ellis-Van Creveld Syndrome,0
Emaciation,0
Embolism,18
"Embolism, Air",0
"Embolism, Amniotic Fluid",7
"Embolism, Fat",1
Emergencies,0
Emphysema,0
Empty Sella Syndrome,6
Empyema,1
"Empyema, Tuberculous",0
Encephalitis,125
"Encephalitis, California",3
"Encephalitis, Arbovirus",36
"Encephalitis, Japanese",5
"Encephalomyelitis, Acute Disseminated",1
"Encephalitis, St. Louis",0
"Encephalitis, Tick-Borne",1
Encephalocele,0
Encephalomalacia,1
Encephalomyelitis,32
"Encephalomyelitis, Autoimmune, Experimental",26
"Encephalomyelitis, Enzootic Porcine",0
"Encephalomyelitis, Equine",5
"Leukoencephalitis, Acute Hemorrhagic",0
"Encephalomyelitis, Venezuelan Equine",2
Enchondromatosis,10
Encopresis,0
Endarteritis,0
Endocardial Cushion Defects,0
Endocardial Fibroelastosis,2
Endocarditis,4
"Endocarditis, Bacterial",1
"Endocarditis, Subacute Bacterial",0
Endocrine System Diseases,2622
Endocrine Gland Neoplasms,1420
Endometrial Hyperplasia,10
Endometriosis,67
Endometritis,1
Endomyocardial Fibrosis,2
Entamoebiasis,1
Enteritis,12
"Enteritis, Transmissible, of Turkeys",0
Enterobacteriaceae Infections,47
Enterocolitis,10
"Enterocolitis, Pseudomembranous",7
Enterotoxemia,0
Enterovirus Infections,50
Entropion,0
Enuresis,1
Eosinophilia,54
Eosinophilic Granuloma,0
Ependymoma,65
Ephemeral Fever,0
Epidermal Cyst,9
"Epidermitis, Exudative, of Swine",0
Epidermodysplasia Verruciformis,24
Epidermolysis Bullosa,13
Epididymitis,3
Epiglottitis,0
Epilepsy,124
"Epilepsies, Partial",78
"Epilepsy, Generalized",26
"Epilepsy, Tonic-Clonic",3
"Epilepsies, Myoclonic",13
"Epilepsy, Absence",5
"Epilepsy, Temporal Lobe",22
"Epilepsy, Post-Traumatic",0
"Epiphyses, Slipped",0
Epispadias,0
Epistaxis,0
Equine Infectious Anemia,0
Equinus Deformity,0
Ergotism,0
Eructation,0
Erysipelas,0
Erysipeloid,0
Erysipelothrix Infections,0
Erythema,9
Erythema Induratum,0
Erythema Multiforme,3
Erythema Nodosum,2
Erythrasma,0
"Erythroblastosis, Fetal",6
"Leukemia, Erythroblastic, Acute",18
Erythromelalgia,0
Erythroplasia,0
Escherichia coli Infections,11
Esophageal Achalasia,1
Esophageal and Gastric Varices,2
Esophageal Atresia,0
Esophageal Cyst,0
Esophageal Diseases,283
"Diverticulum, Esophageal",0
Esophageal Fistula,1
Esophageal Neoplasms,216
Esophageal Perforation,0
Esophageal Stenosis,0
Esophagitis,50
"Esophagitis, Peptic",0
Esotropia,0
Eunuchism,0
Euthyroid Sick Syndromes,12
Exanthema,5
Exanthema Subitum,3
Exophthalmos,10
Exostoses,2
"Exostoses, Multiple Hereditary",1
Exotropia,0
"Cardiac Complexes, Premature",6
Extravasation of Diagnostic and Therapeutic Materials,4
Eye Abnormalities,61
Eye Burns,0
Eye Diseases,847
Eye Foreign Bodies,0
Eye Hemorrhage,1
Eye Injuries,1
Eye Manifestations,0
Eye Neoplasms,147
Eyelid Diseases,4
Eyelid Neoplasms,0
Facial Asymmetry,0
Facial Dermatoses,2
Facial Hemiatrophy,0
Facial Injuries,1
Facial Neoplasms,1
Facial Nerve Diseases,13
Facial Neuralgia,1
Facial Pain,0
Facial Paralysis,0
Factor V Deficiency,0
Factor VII Deficiency,0
Factor X Deficiency,0
Factor XI Deficiency,1
Factor XII Deficiency,0
Factor XIII Deficiency,0
Failure to Thrive,0
Fallopian Tube Diseases,30
Fallopian Tube Neoplasms,18
Fanconi Syndrome,103
Fanconi Anemia,23
Farmer's Lung,0
