"Diease_TreeNumber","Disease_Mesh_Heading","Disease_Count"
"C12.706.846","Solitary Kidney","0"
"C10.597.606.762.300.500","Charles Bonnet Syndrome","0"
"C23.550.340.500","Injection Site Reaction","0"
"C23.550.291.656.350","Clinical Deterioration","0"
"C10.597.606.525.400.500","Alcoholic Korsakoff Syndrome","0"
"C23.888.914","Travel-Related Illness","0"
"C01.539.221.625","Communicable Diseases, Imported","0"
"C01.539.463.199","Diverticular Diseases","1"
"C10.668.829.100.750","Neonatal Brachial Plexus Palsy","0"
"C10.551.568","Neurolymphomatosis","0"
"C04.557.470.200.025.022","Adenocarcinoma of Lung","140"
"C04.557.470.200.400.565","Squamous Cell Carcinoma of Head and Neck","82"
"C04.557.450.565.280.140","Chondrosarcoma, Clear Cell","0"
"C04.557.470.200.295","Carcinoma, Ovarian Epithelial","56"
"C23.888.900","Sleepiness","0"
"C04.557.470.200.025.085.612","Thyroid Cancer, Papillary","20"
"C04.557.470.200.623","Nasopharyngeal Carcinoma","43"
"C05.116.099.708.375.286","Craniofacial Fibrous Dysplasia","0"
"C04.557.470.200.400.330","Esophageal Squamous Cell Carcinoma","45"
"C12.777.829.893","Urinary Bladder, Underactive","0"
"C01.539.248.250","Healthcare-Associated Pneumonia","0"
"C01.252.400.155.569.800","Post-Lyme Disease Syndrome","0"
"C16.320.314","GATA2 Deficiency","0"
"C10.668.829.550.350","Cauda Equina Syndrome","0"
"C20.111.572","Immunoglobulin G4-Related Disease","0"
"C11.270.151","Cone Dystrophy","2"
"C04.557.450.565.545","Myopericytoma","0"
"C04.557.470.615.665","Pancreatic Intraductal Neoplasms","0"
"C23.888.144.243.463","Body-Weight Trajectory","0"
"C23.888.144.243.926.500","Gestational Weight Gain","0"
"C06.405.748.045","Achlorhydria","1"
"C05.116.099.343.110","Achondroplasia","1"
"C18.452.076","Acid-Base Imbalance","40"
"C18.452.076.176","Acidosis","16"
"C18.452.076.176.180","Acidosis, Lactic","9"
"C12.777.419.815.093","Acidosis, Renal Tubular","0"
"C08.618.846.093","Acidosis, Respiratory","0"
"C01.252.400.560.022","Acinetobacter Infections","0"
"C17.800.030.150","Acne Vulgaris","10"
"C09.218.807.800","Vestibulocochlear Nerve Diseases","35"
"C02.782.815.616.400.040","Acquired Immunodeficiency Syndrome","47"
"C05.116.099.370.894.232.015","Acrocephalosyndactylia","8"
"C16.131.831.066","Acrodermatitis","1"
"C10.668.829.025","Acrodynia","0"
"C05.116.132.082","Acromegaly","1"
"C04.730.713.317","ACTH Syndrome, Ectopic","1"
"C01.252.400.700.030.178","Actinobacillosis","0"
"C01.252.400.700.030","Actinobacillus Infections","0"
"C01.252.410.040","Actinomycetales Infections","316"
"C01.252.410.040.137","Actinomycosis","1"
"C01.252.410.040.137.262","Actinomycosis, Cervicofacial","0"
"C23.550.291.125","Acute Disease","0"
"C23.550.470.099","Acute-Phase Reaction","0"
"C14.280.067.558.137","Adams-Stokes Syndrome","0"
"C19.053.500.263","Addison Disease","0"
"C04.557.470.200.025","Adenocarcinoma","2717"
"C04.557.470.200.025.085","Adenocarcinoma, Papillary","32"
"C04.557.450.565.590.595.050","Adenofibroma","0"
"C04.557.435.075","Adenolymphoma","0"
"C04.557.470.035","Adenoma","390"
"C04.557.465.625.650.075","Adenoma, Basophil","2"
"C04.557.465.625.650.095","Adenoma, Chromophobe","0"
"C04.557.465.625.650.025","Adenoma, Acidophil","0"
"C02.256.076","Adenoviridae Infections","26"
"C02.256.076.045","Adenovirus Infections, Human","3"
"C23.550.355.274.840","Tissue Adhesions","0"
"C10.177.045","Adie Syndrome","0"
"C17.800.463.249","Adiposis Dolorosa","0"
"C13.351.500.056","Adnexal Diseases","799"
"C01.539.635.500","Pelvic Inflammatory Disease","4"
"C19.053.098","Adrenal Cortex Diseases","125"
"C04.588.322.078.265","Adrenal Cortex Neoplasms","55"
"C19.053","Adrenal Gland Diseases","362"
"C19.053.800","Adrenocortical Hyperfunction","217"
"C19.053.500","Adrenal Insufficiency","10"
"C04.588.322.078","Adrenal Gland Neoplasms","72"
"C12.706.316.090.500","Adrenal Hyperplasia, Congenital","3"
"C04.557.470.035.232","Adrenal Rest Tumor","3"
"C10.228.140.163.100.084","Adrenoleukodystrophy","8"
"C23.888.821.061","Aerophagy","0"
"C06.405.469.531.099","Afferent Loop Syndrome","0"
"C15.378.100.100.056","Afibrinogenemia","0"
"C02.081.030","African Horse Sickness","0"
"C02.081.885.125","African Swine Fever","1"
"C15.378.147.142","Agammaglobulinemia","3"
"C10.597.751.861.184","Ageusia","0"
"C10.597.606.762.100","Agnosia","9"
"C15.378.553.546.184","Agranulocytosis","10"
"C10.597.606.150.500.050","Agraphia","0"
"C24.080","Agricultural Workers' Diseases","0"
"C02.782.815.616.400.080","AIDS-Related Complex","1"
"C05.116.264.143","Ainhum","0"
"C08.618.846.185","Airway Obstruction","26"
"C10.228.140.042","Akinetic Mutism","0"
"C11.270.040","Albinism","16"
"C12.777.934.734.269","Albuminuria","9"
"C10.720.112.100","Alcohol Amnestic Disorder","0"
"C10.720.112.200","Alcohol Withdrawal Delirium","0"
"C25.775.100.175","Alcoholic Intoxication","0"
"C25.775.100.250","Alcoholism","28"
"C02.256.700.091","Aleutian Mink Disease","0"
"C18.452.076.354","Alkalosis","0"
"C08.618.501.271","Alkalosis, Respiratory","0"
"C16.320.565.100.187","Alkaptonuria","0"
"C17.800.329.937.122","Alopecia","25"
"C17.800.329.937.122.147","Alopecia Areata","5"
"C17.300.550.550","Mucinosis, Follicular","0"
"C08.618.020","Altitude Sickness","4"
"C08.381.483.125","Alveolitis, Extrinsic Allergic","2"
"C10.228.140.380.100","Alzheimer Disease","216"
"C10.228.140.055","Amblyopia","1"
"C03.752.049","Amebiasis","3"
"C04.557.695.065","Ameloblastoma","3"
"C07.650.800.255.500","Amelogenesis Imperfecta","0"
"C23.550.568.500","Amenorrhea","0"
"C16.320.565.100","Amino Acid Metabolism, Inborn Errors","67"
"C12.777.419.815.885","Renal Aminoacidurias","0"
"C10.597.606.525.100","Amnesia","6"
"C10.597.606.525.100.150","Amnesia, Retrograde","0"
"C16.614.042","Amniotic Band Syndrome","0"
"C26.062","Amputation, Traumatic","0"
"C18.452.845.500","Amyloidosis","15"
"C10.228.854.139","Amyotrophic Lateral Sclerosis","123"
"C04.588.083","Anal Gland Neoplasms","0"
"C10.668.829.700","Pain Insensitivity, Congenital","2"
"C20.543.480.099","Anaphylaxis","3"
"C04.697.045","Anaplasia","3"
"C01.252.400.054","Anaplasmataceae Infections","1"
"C01.252.400.054.050","Anaplasmosis","0"
"C03.335.508.700.775.455.154","Ancylostomiasis","0"
"C15.378.071","Anemia","200"
"C15.378.071.085","Anemia, Aplastic","63"
"C15.378.071.141.150.095","Anemia, Dyserythropoietic, Congenital","1"
"C15.378.071.141","Anemia, Hemolytic","78"
"C15.378.071.141.125","Anemia, Hemolytic, Autoimmune","0"
"C15.378.071.141.150","Anemia, Hemolytic, Congenital","60"
"C15.378.071.141.150.100","Anemia, Hemolytic, Congenital Nonspherocytic","0"
"C15.378.071.196","Anemia, Hypochromic","6"
"C15.378.071.252","Anemia, Macrocytic","12"
"C15.378.071.252.196","Anemia, Megaloblastic","9"
"C15.378.071.307","Anemia, Myelophthisic","0"
"C15.378.071.363","Anemia, Neonatal","7"
"C15.378.071.252.196.500","Anemia, Pernicious","0"
"C15.378.071.400","Anemia, Refractory","16"
"C15.378.071.400.080","Anemia, Refractory, with Excess of Blasts","4"
"C15.378.071.141.150.150","Anemia, Sickle Cell","43"
"C15.378.071.419","Anemia, Sideroblastic","4"
"C10.500.680.196","Anencephaly","1"
"C23.550.210.050","Aneuploidy","0"
"C14.907.055","Aneurysm","44"
"C14.907.055.050","Aneurysm, Dissecting","2"
"C01.539.069","Aneurysm, Infected","0"
"C14.280.647.187","Angina Pectoris","11"
"C14.280.647.187.150.150","Angina Pectoris, Variant","0"
"C14.280.647.187.150","Angina, Unstable","1"
"C11.768.094","Angioid Streaks","0"
"C04.557.645.115","Angiokeratoma","0"
"C10.228.140.163.100.435.825.200","Fabry Disease","0"
"C15.378.553.231.085","Angiolymphoid Hyperplasia with Eosinophilia","16"
"C14.907.077","Angiomatosis","56"
"C14.907.079","Angioedema","21"
"C22","Animal Diseases","982"
"C11.744.116","Aniseikonia","0"
"C05.550.069","Ankylosis","15"
"C07.650.800.100","Anodontia","0"
"C10.597.606.150.500.090","Anomia","0"
"C11.250.080","Anophthalmos","0"
"C23.888.821.108","Anorexia","0"
"C10.597.751.600","Olfaction Disorders","0"
"C13.351.500.056.630.050","Anovulation","2"
"C23.888.852.079","Hypoxia","0"
"C05.651.180.063","Anterior Compartment Syndrome","0"
"C08.381.483.581.062.500","Anthracosilicosis","0"
"C01.252.410.090.072","Anthrax","6"
"C12.777.419.078","Anuria","0"
"C06.405.469.860.101","Anus Diseases","2"
"C04.588.274.476.411.307.790.040","Anus Neoplasms","1"
"C06.198.050","Anus, Imperforate","0"
"C14.907.055.239","Aortic Aneurysm","19"
"C14.907.109.239","Aortic Arch Syndromes","3"
"C14.240.400.090","Aortic Coarctation","2"
"C14.907.109","Aortic Diseases","26"
"C14.907.055.185.125","Aortic Rupture","1"
"C14.280.484.150.070","Aortic Stenosis, Subvalvular","23"
"C14.280.484.095","Aortic Valve Insufficiency","1"
"C14.280.484.400.100","Aortic Valve Prolapse","0"
"C14.280.484.150","Aortic Valve Stenosis","65"
"C14.907.109.320","Aortitis","1"
"C14.240.400.560.098","Aortopulmonary Septal Defect","0"
"C11.510.103","Aphakia","0"
"C11.510.103.110","Aphakia, Postcataract","0"
"C10.597.606.150.500.800.100","Aphasia","46"
"C10.597.606.150.500.800.100.100","Aphasia, Broca","9"
"C10.597.606.150.500.800.100.166","Aphasia, Wernicke","3"
"C08.360.940.160","Aphonia","0"
"C08.618.085","Apnea","7"
"C04.588.274.476.411.184.290","Appendiceal Neoplasms","1"
"C01.539.463.099","Appendicitis","7"
"C10.597.606.881.350","Apraxias","4"
"C04.557.465.625.650.135","Apudoma","0"
"C25.723.127.723","Spider Bites","0"
"C10.228.614.097","Arachnoiditis","1"
"C02.081","Arbovirus Infections","117"
"C11.204.299.070","Arcus Senilis","0"
"C02.782.082","Arenaviridae Infections","19"
"C17.800.621.166","Argyria","0"
"C26.088","Arm Injuries","2"
"C10.500.680.291","Arnold-Chiari Malformation","0"
"C14.280.067","Arrhythmias, Cardiac","92"
"C14.280.067.093","Arrhythmia, Sinus","5"
"C14.907.137","Arterial Occlusive Diseases","260"
"C14.240.850.984.500","Arterio-Arterial Fistula","0"
"C14.907.137.126","Arteriosclerosis","250"
"C14.907.137.126.114","Arteriosclerosis Obliterans","0"
"C14.240.850.750.147","Arteriovenous Fistula","0"
"C14.240.850.750","Arteriovenous Malformations","1"
"C14.907.940.090","Arteritis","9"
"C05.550.114","Arthritis","464"
"C05.550.114.015","Arthritis, Experimental","14"
"C01.539.100","Arthritis, Infectious","3"
"C05.550.114.122","Arthritis, Juvenile","51"
"C05.550.114.154","Arthritis, Rheumatoid","271"
"C05.550.150","Arthrogryposis","1"
"C05.550.186","Arthropathy, Neurogenic","1"
"C20.543.520.100","Arthus Reaction","0"
"C10.597.606.150.500.800.150","Articulation Disorders","0"
"C08.381.483.581.125","Asbestosis","4"
"C03.335.508.700.100.070","Ascariasis","0"
"C03.335.508.700.100.080","Ascaridiasis","0"
"C23.550.081","Ascites","0"
"C18.654.521.500.133.115","Ascorbic Acid Deficiency","5"
"C01.703.080","Aspergillosis","11"
"C01.703.080.768.500","Aspergillosis, Allergic Bronchopulmonary","2"
"C23.550.260.095","Asphyxia","1"
"C16.614.092","Asphyxia Neonatorum","0"
"C23.888.089","Asthenia","0"
"C11.093","Asthenopia","0"
"C08.127.108","Asthma","171"
"C08.127.108.110","Asthma, Exercise-Induced","0"
"C11.744.212","Astigmatism","0"
"C04.557.465.625.600.380.080","Astrocytoma","713"
"C10.597.350.090","Ataxia","93"
"C10.228.140.252.190.530.060","Ataxia Telangiectasia","65"
"C08.381.730","Pulmonary Atelectasis","2"
"C10.597.350.110","Athetosis","0"
"C26.115","Athletic Injuries","1"
"C14.280.067.198","Atrial Fibrillation","30"
"C14.280.067.248","Atrial Flutter","0"
"C23.300.070","Atrophy","0"
"C09.218.807.186","Auditory Diseases, Central","4"
"C09.218.807.186.094","Auditory Perceptual Disorders","4"
"C20.111","Autoimmune Diseases","1143"
"C23.550.260.224.617.236","Autolysis","0"
"C10.177","Autonomic Nervous System Diseases","25"
"C02.782.815.096","Avian Leukosis","0"
"C02.782.815.800","Sarcoma, Avian","0"
"C18.654.521.500.133","Avitaminosis","28"
"C03.701.688.122","Babesiosis","0"
"C23.888.592.612.107","Back Pain","0"
"C01","Bacterial Infections and Mycoses","1198"
"C01.252","Bacterial Infections","671"
"C01.539.895.219","Bacteriuria","4"
"C01.252.400.110.109","Bacteroides Infections","4"
"C12.294.494.136","Balanitis","0"
"C03.432.146","Balantidiasis","0"
"C12.777.419.570.643.150","Balkan Nephropathy","0"
"C26.120","Barotrauma","2"
"C04.834.154","Barrett Esophagus","62"
"C01.252.400.126.100","Bartonella Infections","1"
"C01.252.400.126","Bartonellaceae Infections","1"
"C12.777.419.815.279","Bartter Syndrome","0"
"C04.182.089.530.690.150","Basal Cell Nevus Syndrome","1"
"C10.228.140.079","Basal Ganglia Diseases","350"
"C26.130","Battered Child Syndrome","0"
"C16.131.077.133","Beckwith-Wiedemann Syndrome","9"
"C07.465.075","Behcet Syndrome","38"
"C18.654.521.500.133.699.827.223","Beriberi","0"
"C15.378.100.100.080","Bernard-Soulier Syndrome","3"
"C08.381.483.581.225","Berylliosis","4"
"C26.392.183","Bezoars","0"
"C06.130.120","Bile Duct Diseases","90"
"C04.588.274.120.250","Bile Duct Neoplasms","60"
"C06.130.120.135.150","Cholestasis, Extrahepatic","0"
"C06.130.140","Bile Reflux","1"
"C06.130.120.123","Biliary Atresia","5"
"C06.130.120.250.098","Biliary Dyskinesia","0"
"C06.267.150","Biliary Fistula","0"
"C06.130","Biliary Tract Diseases","110"
"C04.588.274.120","Biliary Tract Neoplasms","72"
"C22.131","Bird Diseases","24"
"C08.381.483.125.125","Bird Fancier's Lung","0"
"C16.614.131","Birth Injuries","0"
"C23.888.144.186","Birth Weight","0"
"C25.723.127","Bites and Stings","39"
"C26.176.071","Bites, Human","36"
"C03.752.530.650.228","Blackwater Fever","0"
"C12.777.829.720","Urinary Bladder Calculi","0"
"C12.777.829","Urinary Bladder Diseases","227"
"C12.706.132","Bladder Exstrophy","0"
"C12.706.881.312","Urinary Bladder Fistula","0"
"C12.777.767.700.962","Urinary Bladder Neck Obstruction","0"
"C04.588.945.947.960","Urinary Bladder Neoplasms","212"
"C10.597.900","Urinary Bladder, Neurogenic","0"
"C04.557.337.539.250.100","Blast Crisis","20"
"C26.120.126","Blast Injuries","2"
"C01.539.800.200.055","Blastomycosis","0"
"C11.338.133","Blepharitis","0"
"C11.338.204","Blepharoptosis","0"
"C11.338.250","Blepharospasm","0"
"C06.405.469.637.145","Blind Loop Syndrome","9"
"C10.597.751.941.162","Blindness","23"
"C17.800.865.187","Blister","164"
"C15.378.100","Blood Coagulation Disorders","127"
"C15.378.140","Blood Platelet Disorders","95"
"C15.378.147","Blood Protein Disorders","467"
"C16.131.077.137","Bloom Syndrome","14"
"C02.081.125","Bluetongue","0"
"C23.888.119","Body Temperature Changes","0"
"C23.888.144","Body Weight","0"
"C23.888.144.243","Body Weight Changes","0"
"C04.182.089","Bone Cysts","9"
"C05.116","Bone Diseases","559"
"C05.116.099","Bone Diseases, Developmental","128"
"C05.116.132","Bone Diseases, Endocrine","8"
"C01.539.160","Bone Diseases, Infectious","2"
"C05.116.198","Bone Diseases, Metabolic","70"
"C15.378.190","Bone Marrow Diseases","483"
"C04.588.149","Bone Neoplasms","219"
"C05.116.264","Bone Resorption","32"
"C02.782.350.675.100","Border Disease","1"
"C01.252.400.143","Bordetella Infections","1"
"C02.782.580.124","Borna Disease","0"
"C01.252.400.155","Borrelia Infections","21"
"C01.252.410.222.151","Botulism","1"
"C01.252.400.780.790.750.250","Boutonneuse Fever","1"
"C02.782.350.675.106","Bovine Virus Diarrhea-Mucosal Disease","0"
"C04.557.470.200.400.130","Bowen's Disease","0"
"C14.280.067.319","Bradycardia","0"
"C01.395.250","Brain Abscess","0"
"C10.228.140.199.444.250","Brain Concussion","5"
"C10.228.140.140","Brain Damage, Chronic","57"
"C10.228.140.151","Brain Death","9"
"C10.228.140","Brain Diseases","2822"
"C10.228.140.163","Brain Diseases, Metabolic","303"
"C10.228.140.187","Brain Edema","76"
"C10.228.140.199","Brain Injuries","26"
"C04.588.614.250.195","Brain Neoplasms","1121"
"C04.182.117","Branchioma","0"
"C17.800.090","Breast Diseases","3587"
"C04.588.180","Breast Neoplasms","3574"
"C13.703.420.183","Breech Presentation","4"
"C04.557.450.565.590.595.150","Brenner Tumor","6"
"C08.127","Bronchial Diseases","231"
"C08.127.196","Bronchial Fistula","0"
"C04.588.894.797.520.109","Bronchial Neoplasms","540"
"C08.127.321","Bronchial Spasm","0"
"C08.127.384","Bronchiectasis","2"
"C08.127.446.135","Bronchiolitis","8"
"C08.127.446.135.140","Bronchiolitis Obliterans","2"
"C02.109","Bronchiolitis, Viral","3"
"C08.127.446","Bronchitis","11"
"C04.182.195","Bronchogenic Cyst","0"
"C08.127.509","Bronchopneumonia","1"
"C08.381.520.750.500","Bronchopulmonary Dysplasia","11"
"C08.695.214","Bronchopulmonary Sequestration","0"
"C01.252.400.167","Brucellosis","6"
"C01.252.400.167.322","Brucellosis, Bovine","0"
"C07.793.099","Bruxism","0"
"C23.888.821.645.500","Bulimia","0"
"C14.280.067.558.323","Bundle-Branch Block","1"
"C02.782.147","Bunyaviridae Infections","16"
"C02.256.466.313.165","Burkitt Lymphoma","137"
"C07.465.114","Burning Mouth Syndrome","0"
"C24.580.500","Burnout, Professional","0"
"C26.200","Burns","12"
"C26.200.156","Burns, Chemical","1"
"C26.200.239","Burns, Electric","0"
"C26.200.322","Burns, Inhalation","1"
"C05.550.251","Bursitis","3"
"C08.381.483.581.275","Byssinosis","3"
"C23.888.144.243.963.500.500","Cachexia","0"
"C23.550.260.224","Cadaver","0"
"C25.723.522.625","Cadmium Poisoning","1"
"C18.452.174.130","Calcinosis","22"
"C18.452.174.130.186","Calciphylaxis","0"
"C18.452.174","Calcium Metabolism Disorders","28"
"C23.300.175","Calculi","0"
"C17.800.428.200","Callosities","1"
"C01.252.400.177","Campylobacter Infections","1"
"C01.703.160","Candidiasis","12"
"C01.539.800.200.100","Candidiasis, Chronic Mucocutaneous","2"
"C01.539.800.200.105","Candidiasis, Cutaneous","0"
"C01.703.160.180","Candidiasis, Oral","0"
"C01.703.160.190","Candidiasis, Vulvovaginal","0"
"C25.775.635","Marijuana Abuse","0"
"C05.550.114.154.219","Caplan Syndrome","0"
"C16.320.565.202","Carbohydrate Metabolism, Inborn Errors","115"
"C25.723.455.245","Carbon Monoxide Poisoning","0"
"C25.723.177","Carbon Tetrachloride Poisoning","0"
"C01.252.410.868.820.270.200","Carbuncle","0"
"C04.557.465.625.650.200.500.205","Carcinoid Heart Disease","1"
"C04.557.465.625.650.200","Carcinoid Tumor","11"
"C04.557.470.200","Carcinoma","3992"
"C04.557.470.200.240","Carcinoma in Situ","165"
"C04.557.435.290.210","Carcinoma 256, Walker","0"
"C04.557.470.200.165","Carcinoma, Basal Cell","54"
"C04.557.470.200.170","Carcinoma, Basosquamous","0"
"C04.557.470.200.025.022.500","Adenocarcinoma, Bronchiolo-Alveolar","24"
"C04.588.894.797.520.109.220","Carcinoma, Bronchogenic","540"
"C04.619.124","Carcinoma, Brown-Pearce","0"
"C04.557.470.200.025.275","Carcinoma, Intraductal, Noninfiltrating","63"
"C04.557.470.200.200","Carcinoma, Ehrlich Tumor","0"
"C04.557.470.200.255","Carcinoma, Krebs 2","0"
"C04.557.470.200.025.075","Adenocarcinoma, Mucinous","36"
"C04.588.894.797.520.109.220.249","Carcinoma, Non-Small-Cell Lung","478"
"C04.557.470.200.360","Carcinoma, Papillary","63"
"C04.557.470.200.025.390","Carcinoma, Renal Cell","339"
"C04.557.470.200.025.095","Adenocarcinoma, Scirrhous","0"
"C04.557.470.200.400","Carcinoma, Squamous Cell","810"
"C04.557.470.200.430","Carcinoma, Transitional Cell","23"
"C04.557.435.290","Carcinosarcoma","8"
"C14.280.148","Cardiac Output, Low","2"
"C14.280.155","Cardiac Tamponade","0"
"C14.280.238.057","Cardiomyopathy, Alcoholic","1"
"C14.280.195.160","Cardiomyopathy, Dilated","44"
"C14.280.238.100","Cardiomyopathy, Hypertrophic","23"
